filename,notes,authors,licenses,url1,url2,url3,url4,url5,url6,url7,url8,url9,url10,url11,url12,url13,url14,url15,status
head/heads/alien,"based on lizard originally by Nila122, modified by BenCreating, further edited by bluecarrot16. Nila122 gave blanket permission to MedicineStorm to use Nila122's LPC assets under OGA-BY 3.0 (where original or derived only from other works under OGA-BY).","bluecarrot16, Benjamin K. Smith (BenCreating), Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/boarman,"pig by daneeklu adapted to boarman by BenCreating, placed to v3 bases by bluecarrot16","Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu)","CC-BY 3.0, GPL 2.0",https://opengameart.org/content/lpc-style-farm-animals,https://opengameart.org/content/lpc-wild-boar,https://opengameart.org/content/lpc-boarman,,,,,,,,,,,,,
head/heads/boarman_child,"pig by daneeklu adapted to boarman by BenCreating, adapted to child version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-style-farm-animals,https://opengameart.org/content/lpc-wild-boar,https://opengameart.org/content/lpc-boarman,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,
head/heads/frankenstein,original head by Redshrike; frankenstein's monster version by bluecarrot16,"Stephen Challener (Redshrike), bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/goblin,"original goblin by Redshrike, commisioned by William.Thomsponj; modular head extracted and enlarged by bluecarrot16","bluecarrot16, Stephen Challener (Redshrike), William.Thomsponj","OGA-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0",https://opengameart.org/content/lpc-goblin,https://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/goblin_child,"original goblin by Redshrike, commisioned by William.Thomsponj; modular head extracted and slightly modified by bluecarrot16","bluecarrot16, Stephen Challener (Redshrike), William.Thomsponj","OGA-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0",https://opengameart.org/content/lpc-goblin,https://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/human_child,,"Stephen Challener (Redshrike), kheftel, bluecarrot16","OGA-BY 3.0, CC-BY 3.0, GPL 3.0",https://opengameart.org/content/,https://opengameart.org/content/lpc-child-standing-template,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,
head/heads/human_female,original head by Redshrike; tweaks by BenCreating; modular version by bluecarrot16,"bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/human_female_elderly,,"Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-revised-elders,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,
head/heads/human_male,original head by Redshrike; tweaks by BenCreating; modular version by bluecarrot16,"bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/human_male_elderly,,"Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-revised-elders,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,
head/heads/human_male_gaunt,original head by Redshrike; gaunt version by bluecarrot16,"Stephen Challener (Redshrike), bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/jack,original pumpkin by Joshua Taylor; modified to head by bluecarrot16,"bluecarrot16, Joshua Taylor","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/fruit-and-veggie-inventory,https://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/lizard_child,"original lizard/drake by Nila122, reworked by BenCreating, modular head and further revisions by bluecarrot16, child version by bluecarrot16. Nila122 gave blanket permission to MedicineStorm to use Nila122's LPC assets under OGA-BY 3.0 (where original or derived only from other works under OGA-BY).","bluecarrot16, Benjamin K. Smith (BenCreating), Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/lizard_female,"original lizard/drake by Nila122, reworked by BenCreating, modular head and further revisions by bluecarrot16. Nila122 gave blanket permission to MedicineStorm to use Nila122's LPC assets under OGA-BY 3.0 (where original or derived only from other works under OGA-BY).","bluecarrot16, Benjamin K. Smith (BenCreating), Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/lizard_male,"original lizard/drake by Nila122, reworked by BenCreating, modular head and further revisions by bluecarrot16. Nila122 gave blanket permission to MedicineStorm to use Nila122's LPC assets under OGA-BY 3.0 (where original or derived only from other works under OGA-BY).","bluecarrot16, Benjamin K. Smith (BenCreating), Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,
head/heads/minotaur,"original cow by daneeklu, combined with horns by Nila122 and adapted to minotaur by Evert","Evert, Nila122, Daniel Eddeland (daneeklu)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-style-farm-animals,https://opengameart.org/content/lpc-lizard-headgear,https://opengameart.org/content/lpc-faun-and-minotaur,,,,,,,,,,,,,
head/heads/minotaur_child,"original cow by daneeklu, combined with horns by Nila122 and adapted to minotaur by Evert; child version by bluecarrot16","bluecarrot16, Evert, Nila122, Daniel Eddeland (daneeklu)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-style-farm-animals,https://opengameart.org/content/lpc-lizard-headgear,https://opengameart.org/content/lpc-faun-and-minotaur,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,
head/heads/minotaur_female,"original cow by daneeklu, adapted to minotaur by Evert, female version modified by bluecarrot16 to remove horns","bluecarrot16, Evert, Daniel Eddeland (daneeklu)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-style-farm-animals,https://opengameart.org/content/lpc-faun-and-minotaur,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,
head/heads/mouse,"original rabbit by Redshrike, adapted to modular head by bluecarrot16, modified to mouse head by bluecarrot16","bluecarrot16, Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY 3.0, CC-BY-SA 3.0",https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm,http://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
head/heads/mouse_child,"original rabbit by Redshrike, adapted to modular head by bluecarrot16, modified to mouse head by bluecarrot16","bluecarrot16, Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY 3.0, CC-BY-SA 3.0",https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm,http://opengameart.org/content/lpc-folk,,,,,,,,,,,,,,
